> ls -d edu.ru 
[ns.msu.ru]
 edu.ru.                        SOA    ns.informika.ru hostmaster.informika.ru. (3018030303 43200 7200 1468800 172800)
 dk                             A      194.226.215.201
 *.dk                           A      194.226.215.201
 dmitriev                       NS     ns0.intobs.ru                 
 dmitriev                       NS     ns1.intobs.ru                 
 dmitrov                        NS     ns4-l3.nic.ru                 
 dmitrov                        NS     ns8-l3.nic.ru                 
 dmitrov                        NS     ns34-cloud.nic.ru             
 dmitrov                        NS     ns38-cloud.nic.ru             
 do                             MX     10   relay.informika.ru
 do                             A      194.226.215.201
 *.do                           A      194.226.215.201
 auto.do                        A      194.226.214.227
 auto2.do                       A      194.226.214.227
 autov3.do                      A      194.226.214.226
 autov4.do                      CNAME  cabinetv4.do.edu.ru
 cabinet.do                     CNAME  cabinetv4.do.edu.ru
 cabinet-ims.do                 A      85.142.23.78
 cabinetv2.do                   A      194.226.214.228
 cabinetv3.do                   A      194.226.214.226
 cabinetv4.do                   A      85.142.23.78
 eo.do                          CNAME  do.edu.ru
 rso.do                         A      194.226.214.251
 gou.rso.do                     A      194.226.214.251
 test.do                        A      85.142.23.90
 xls.do                         A      85.142.23.104
 dolgschool                     NS     dns1.netbreeze.net            
 dolgschool                     NS     dns2.netbreeze.net            
 dolgschool                     NS     dns3.netbreeze.net            
 domaha                         NS     ns1.1gb.ru                    
 domaha                         NS     ns2.1gb.ru                    
 dop                            A      89.111.130.4
 DOU                            NS     dns1.yandex.ru                
 DOU                            NS     dns2.yandex.ru                
 ds28                           NS     ns.masterhost.ru              
 ds28                           NS     ns1.masterhost.ru             
 ds28                           NS     ns2.masterhost.ru             
 dsmga                          NS     ns3.nic.ru                    
 dsmga                          NS     ns4.nic.ru                    
 dsmga                          NS     ns8.nic.ru                    
 dsraduga111                    NS     ns.masterhost.ru              
 dsraduga111                    NS     ns1.masterhost.ru             
 dsraduga111                    NS     ns2.masterhost.ru             
 dstu                           NS     ns.dstu.edu.ru                
 dstu                           NS     nsrcoi.rcoi61.org.ru          
 ns.dstu                        A      91.220.220.241
 dtc                            NS     ns1.hc.ru                     
 dtc                            NS     ns2.hc.ru                     
 dtdm                           NS     ns3.nic.ru                    
 dtdm                           NS     ns4.nic.ru                    
 dtdm                           NS     ns8.nic.ru                    
 dvfu                           NS     ns.rbnet.dvgu.ru              
 dvfu                           NS     uic.dvgu.ru                   
 dvgu                           NS     ns.rbnet.dvgu.ru              
 dvgu                           NS     uic.dvgu.ru                   
 e-moscow                       NS     dns1.yandex.ru                
 e-moscow                       NS     dns2.yandex.ru                
 ecol                           NS     ns.ecol.edu.ru                
 ns.ecol                        A      185.12.228.170
 econline                       NS     ns0.xname.org                 
 econline                       NS     ns1.xname.org                 
 econline                       NS     ns2.xname.org                 
 ecsocman                       NS     mx1.hse.ru                    
 ecsocman                       NS     ns1.plus.ru                   
 edem                           NS     ns.opnet.spb.ru               
 edem                           NS     ns.runnet.ru                  
 edinstvo                       NS     ns3.nic.ru                    
 edinstvo                       NS     ns4.nic.ru                    
 edinstvo                       NS     ns8.nic.ru                    
 EDU25                          NS     dns1.yandex.ru                
 EDU25                          NS     dns2.yandex.ru                
 ege                            A      62.76.166.20
 *.ege                          A      85.142.20.54
 adm.ege                        A      193.27.215.60
 check.ege                      A      85.143.100.34
 adm.check.ege                  A      62.76.166.21
 test.check.ege                 A      62.76.166.21
 www.check.ege                  A      185.15.173.170
 forum.ege                      A      193.27.215.100
 test.forum.ege                 A      193.27.215.100
 www.forum.ege                  A      193.27.215.100
 injaz.ege                      A      62.76.166.21
 rcoi.ege                       A      85.143.100.34
 test.ege                       A      193.27.215.60
 topic.ege                      A      85.143.100.38
 vuz.ege                        A      85.143.100.35
 www.ege                        A      62.76.166.20
 www1.ege                       A      85.142.19.18
 www2.ege                       A      85.142.19.18
 www3.ege                       A      85.142.19.18
 el                             NS     dns1.zenon.net                
